"","Amplitude_ID","Total_Events","Total_Sessions","Usage_Min","First_Seen","Last_Seen","Num_Purchases","Total_Spent","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"5751","0",7,0,0,2016-07-23,NA,NA,6237767717,"CloudKit-1069ca8341532dbc359bd1c4f1229e6af89f4ef112a382786b36c45df3ce25c591f0a20bd8a8390e98a672f2ad021271d94508c43cc8baba76534c87c0da228b","Rogers","Markham","Canada","Apple iPhone","Apple iPhone 6","","99.238.69.139","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Ontario","3.3.3","3.5.1",0,0,FALSE,468,0,TRUE,28,FALSE
"5752","8251222794",9,0,0,2016-07-19,NA,NA,6548214948,"CloudKit-36cd7f15e725d5aa102132691dcf68112058c4a2586d328b23f9278834261cf296b3245cfcdfaba745dfeb8f082e1506996f6a9233212b49088cd4f8dc0ede98","Sprint","Hyattsville","United States","Apple iPhone","Apple iPhone 6","Washington, DC (Hagerstown, MD)","66.87.80.202","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Maryland","3.3.3","3.5.1",0,0,FALSE,1272,0,TRUE,11,FALSE
"5753","0",3,0,0,2016-07-02,NA,NA,7739186674,"","","","Philippines","Apple iPad","Apple iPad Mini","","121.54.44.94","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","","3.4.0","3.4.0",0,0,FALSE,1882,0,TRUE,1,FALSE
"5754","0",1,0,0,2016-07-04,NA,NA,7785259606,"CloudKit-096abde4b8f68867c3604842b611ddc2db15ed7e81525c212ed9007f92a8104e8e0e6890b40b478fb0dc53907def314a67b77eed7d3491ab06d2d1d8749b8008","T-Mobile A","Vienna","Austria","Apple iPhone","Apple iPhone 6s Plus","","62.178.27.12","German","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Vienna","3.4.0","3.4.0",0,0,FALSE,NA,0,FALSE,0,FALSE
"5755","0",1,0,0,2016-07-18,NA,NA,8203478601,"","中国联通","Kunming","China","Apple iPhone","Apple iPhone 6s","","180.130.10.163","Chinese","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Yunnan","3.5.0","3.5.0",0,0,FALSE,0,0,TRUE,11,FALSE
"5756","0",3,0,0,2016-07-18,NA,NA,6589396250,"CloudKit-6c125d5f827ffa1acf0929b993890fd63ac27b578effaee0943b7fd38015210db25feeeef3398ac1a6000d6628e720db4f915174e81c0035f57038d9dd243f46","Verizon","Rock Springs","United States","Apple iPhone","Apple iPhone 6","Salt Lake City, UT","65.131.37.120","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Wyoming","","3.5.0",0,0,TRUE,3276,0,TRUE,22,FALSE
"5757","0",3,0,0,2016-07-23,NA,NA,8371362689,"","AT&T","Destrehan","United States","Apple iPhone","Apple iPhone 6","New Orleans, LA","108.93.220.207","English","amplitude-ios/3.8.2","ios 8.1.1",TRUE,"iOS","Louisiana","3.5.1","3.5.1",0,0,FALSE,26,6,TRUE,11,FALSE
"5758","0",1,0,0,2016-07-10,NA,NA,7977231719,"","Verizon","Burlington","United States","Apple iPhone","Apple iPhone SE","Boston, MA-Manchester, NH","70.192.22.66","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Massachusetts","3.4.0","3.4.0",0,0,FALSE,NA,0,FALSE,0,FALSE
"5759","0",6,0,0,2016-07-28,NA,NA,5919876465,"CloudKit-aad26e5a576c664e49802b4a2f6366701c45af3d68ec945286d8577e0e7239981dd3186b1dd1aa1a37924b52499c8db6d5b0a93d5f0b88266d932dc58da9ddf9","Verizon","Carlstadt","United States","Apple iPhone","Apple iPhone 6s","New York, NY","70.208.74.3","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","New Jersey","3.3.2","3.4.0",0,0,FALSE,905,2,TRUE,6,FALSE
"5760","0",9,0,0,2016-07-28,NA,NA,6179915735,"CloudKit-a97b83cff96e906f6c778e482c85282b49872e4eb09f12a92f5cea4b4e0b4dc59f1c997dfc505f90ade25d8cb6d1f83d652b83cf4364ccbc6dd6fd094fcc79fc","Telstra","Chapel Hill","Australia","Apple iPhone","Apple iPhone 6s Plus","","121.208.233.62","English","amplitude-ios/3.7.0","ios 9.3.2",TRUE,"iOS","Queensland","3.3.3","3.3.3",0,0,FALSE,13602,0,TRUE,23,FALSE
"5761","0",1,0,0,2016-07-06,NA,NA,6589333406,"CloudKit-2c1b9d71598321c7df43f86c321bbaa360999fc0667a952d36c14deb7f39f7ee232b82debed9bf2ec2ccf37841db18831a71cac0dd4177fd2d175b79feac535d","Oi","Guarulhos","Brazil","Apple iPad","Apple iPad Mini","","187.255.72.213","Portuguese","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Sao Paulo","","3.4.0",0,0,FALSE,1338,0,TRUE,6,FALSE
"5762","0",20,0,0,2016-07-02,NA,NA,5851623014,"CloudKit-25b451b03b4203ad7a4bdab58f3805f0a89f276fb343903f5fff33101aa55394cd056023ad550834e4cec5f0f5f589ccc6cf6f385a9ffec2a7afc1bd80535106","T-Mobile","Mays Landing","United States","Apple iPhone","Apple iPhone 6","Philadelphia, PA","73.194.218.112","Spanish","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","New Jersey","3.3.2","3.4.0",2,0,FALSE,1563,10,TRUE,4,FALSE
"5763","0",7,0,0,2016-07-31,NA,NA,6182681953,"CloudKit-ed101d80134b77020ef41f43cb87dd0887ded728b56cb61196c508da4e72b45362a3b0aebbee68e6793f63fd52c46edbe447ec8f6057aac4d459d56d64f1e967","TIM","Curitiba","Brazil","Apple iPhone","Apple iPhone 6","","179.211.53.82","Portuguese","amplitude-ios/3.7.0","ios 9.3.2",TRUE,"iOS","Parana","3.3.3","3.3.3",0,0,FALSE,1761,5,TRUE,6,FALSE
"5764","0",4,0,0,2016-07-02,NA,NA,6234821556,"CloudKit-f4f6a0732a597c93caf0936b68a08e81a7df1e760a2261f375249db874da6112355eb9169d1004f56733c73cb3a084aff973df0f8867b33b1ec043346cc85a62","KPN NL","Heemskerk","Netherlands","Apple iPhone","Apple iPhone 5","","83.81.93.211","Dutch","amplitude-ios/3.7.0","ios 9.3.2",TRUE,"iOS","North Holland","3.3.3","3.3.3",0,0,FALSE,1160,0,TRUE,2,FALSE
